corrida,semilla,tiempo_ms,pct_cumplimiento,costo_total,escalas_promedio,planificados,total
1,1,126180,90.5007,40986074.3398,0.0203,389153,430000
2,2,137912,90.4279,41298998.2513,0.0204,388840,430000
3,3,139783,90.5721,40679202.9615,0.0203,389460,430000
4,4,137696,90.5316,40853117.6410,0.0204,389286,430000
5,5,137835,90.4935,41017095.9080,0.0205,389122,430000
6,6,139331,90.4107,41372963.9313,0.0204,388766,430000
7,7,140325,90.4384,41253960.7580,0.0202,388885,430000
8,8,137704,90.4460,41220995.3458,0.0204,388918,430000
9,9,138249,90.4581,41168995.5718,0.0203,388970,430000
10,10,138492,90.3621,41581863.4325,0.0203,388557,430000
11,11,137729,90.4760,41092056.7938,0.0203,389047,430000
12,12,137477,90.5491,40778200.6973,0.0205,389361,430000
13,13,137112,90.4616,41154010.5928,0.0203,388985,430000
14,14,138158,90.4114,41369929.9748,0.0203,388769,430000
15,15,137291,90.4563,41177016.7615,0.0204,388962,430000
