corrida,semilla,tiempo_ms,pct_cumplimiento,costo_total,escalas_promedio,planificados,total
1,1,7068,99.9950,8036.5820,0.0086,19999,20000
2,2,7763,99.9900,9044.2675,0.0106,19998,20000
3,3,7686,99.9950,8052.2890,0.0123,19999,20000
4,4,8132,99.9900,9042.8945,0.0102,19998,20000
5,5,7881,100.0000,7031.9660,0.0075,20000,20000
6,6,7715,99.9950,8059.4715,0.0140,19999,20000
7,7,7731,100.0000,7034.1180,0.0080,20000,20000
8,8,7701,99.9900,9039.8443,0.0093,19998,20000
9,9,7673,99.9950,8036.6800,0.0087,19999,20000
10,10,7617,100.0000,7026.3943,0.0064,20000,20000
11,11,7720,99.9950,8031.7855,0.0078,19999,20000
12,12,7891,99.9850,10043.1250,0.0104,19997,20000
13,13,7631,99.9850,10033.6355,0.0080,19997,20000
14,14,7613,99.9600,15038.3505,0.0096,19992,20000
15,15,7637,99.9900,9044.1010,0.0102,19998,20000
