corrida,semilla,tiempo_ms,pct_cumplimiento,costo_total,escalas_promedio
1,1,41551,99.5000,618430757,0.0007
2,2,37734,99.4988,620180847,0.0007
3,3,37576,99.5007,618804047,0.0007
4,4,38125,99.5009,618556028,0.0007
5,5,40609,99.4977,620723907,0.0007
6,6,41419,99.4986,620459776,0.0007
7,7,40208,99.4981,620252275,0.0007
8,8,38295,99.4984,620482307,0.0007
9,9,42074,99.5000,618571640,0.0007
10,10,41417,99.4995,619207160,0.0007
11,11,41156,99.5012,618297057,0.0007
12,12,38684,99.4993,619972643,0.0007
13,13,38873,99.4998,619766931,0.0007
14,14,45159,99.5014,620561976,0.0007
15,15,40734,99.4995,620552405,0.0007
