corrida,semilla,tiempo_ms,pct_cumplimiento,costo_total,escalas_promedio
1,1,2845,100.0000,14015777,0.0100
2,2,2448,100.0000,14015717,0.0100
3,3,2454,100.0000,14017386,0.0100
4,4,2439,99.9950,14044338,0.0100
5,5,2463,100.0000,14019686,0.0100
6,6,2461,100.0000,14017403,0.0100
7,7,2439,100.0000,14015764,0.0100
8,8,2473,100.0000,14017718,0.0100
9,9,2426,100.0000,14014593,0.0100
10,10,2467,100.0000,14020661,0.0100
11,11,2463,100.0000,14018301,0.0100
12,12,2424,100.0000,14017503,0.0100
13,13,2420,100.0000,14019445,0.0100
14,14,2590,100.0000,14019363,0.0100
15,15,2603,100.0000,14020355,0.0100
