corrida,semilla,tiempo_ms,pct_cumplimiento,costo_total,escalas_promedio
1,1,4206,99.9890,71363434,0.0020
2,2,3702,99.9910,71361105,0.0020
3,3,3567,99.9930,71282234,0.0020
4,4,3567,99.9920,71332912,0.0020
5,5,3582,99.9920,71286379,0.0020
6,6,3546,99.9870,71412871,0.0020
7,7,3630,99.9900,71324079,0.0020
8,8,3590,99.9910,71299518,0.0020
9,9,3692,99.9920,71306547,0.0020
10,10,3608,99.9930,71297800,0.0020
11,11,3638,99.9920,71286548,0.0020
12,12,3600,99.9930,71276174,0.0020
13,13,3577,99.9900,71354510,0.0020
14,14,3566,99.9900,71354766,0.0020
15,15,3612,99.9890,71361252,0.0020
